代碼,商品,買進,賣出,成交,漲跌,漲幅%,單量,總量,委買,委賣,最高,最低,昨收,昨量,內外盤比圖,均價,股本,盈餘,市值
1101,台泥,41.7,41.75,41.7,-0.4,-0.95,1871,15460,47,640,42,41.65,42.1,19795,42.14,41.76,612.52,0.20,2554.2
1102,亞泥,44.4,44.6,44.4,-0.4,-0.89,494,3561,204,1,44.85,44.25,44.8,2692,43.78,44.48,354.59,0.76,1574.2
1103,嘉泥,18.65,18.75,18.75,-0.05,-0.27,16,282,28,8,18.95,18.55,18.8,136,30.69,18.68,77.48,-0.12,145.3
1104,環泥,21.65,21.7,21.65,0,0,39,373,10,57,21.7,21.5,21.65,354,45.63,21.63,65.36,0.82,141.5
1108,幸福,11.1,11.15,11.15,0,0,3,115,1,9,11.15,11.05,11.15,75,44.35,11.09,40.47,0.14,45.1
1109,信大,20,20.05,20.05,0.1,0.5,1,62,1,3,20.05,19.95,19.95,68,51.67,20,34.20,0.26,68.6
1110,東泥,19.95,20,20,-0.25,-1.23,28,176,3,9,20.25,20,20.25,375,42.69,20.06,57.20,0.05,114.4
1201,味全,20.85,21.05,21.05,0.15,0.72,47,900,24,12,21.15,20.8,20.9,450,57.43,20.94,50.61,0.19,106.5
1203,味王,33.05,33.4,33.2,-0.15,-0.45,1,6,8,2,33.35,33.2,33.35,7,50,33.33,24.00,0.59,79.7
1210,大成,48.6,48.65,48.6,-0.5,-1.02,206,641,42,2,48.9,48.55,49.1,594,22.97,48.62,85.22,0.69,414.1
1213,大飲,7.96,8.19,8.22,0.02,0.24,1,49,2,1,8.39,7.93,8.2,87,95.92,8.2,5.66,-0.47,4.7
1215,卜蜂,81.9,82,81.9,-0.2,-0.24,12,115,1,21,82,81.5,82.1,272,42.86,81.78,26.80,1.22,219.5
1216,統一,65.1,65.2,65.1,-0.5,-0.76,421,3454,53,27,65.5,64.8,65.6,7520,41.18,65.07,568.20,0.75,3699.0
1217,愛之味,11.05,11.1,11.05,-0.05,-0.45,133,1042,2,71,11.1,11,11.1,1127,39.09,11.04,49.45,0.10,54.6
1218,泰山,31,31.05,31.05,-0.2,-0.64,69,442,15,2,31.4,31,31.25,9852,36,31.18,50.00,0.29,155.2
1219,福壽,22.3,22.35,22.3,-0.45,-1.98,178,2915,26,24,22.7,22.2,22.75,1312,26.55,22.38,32.20,0.63,71.8
1220,台榮,17.9,17.95,17.95,-0.15,-0.83,36,871,10,19,18.2,17.8,18.1,1094,31.59,17.94,17.71,0.19,31.8
1225,福懋油,49.5,49.65,49.55,-0.45,-0.9,2,63,3,4,50,49.5,50,70,7.94,49.65,21.87,0.94,108.4
1227,佳格,47.55,47.6,47.55,-0.45,-0.94,14,273,6,3,47.95,47.5,48,534,24.72,47.58,91.51,0.36,435.1
1229,聯華,55.8,55.9,55.9,-1.6,-2.78,113,2363,23,21,57.1,55.4,57.5,591,47.75,55.95,140.96,0.91,788.0
1231,聯華食,84.5,84.6,84.5,-1.1,-1.29,13,194,12,1,85.9,84.2,85.6,374,42.71,84.68,20.18,1.09,170.5
1232,大統益,153.5,154,154,-0.5,-0.32,3,43,4,2,154.5,153.5,154.5,60,48.78,154,16.00,2.98,246.4
1233,天仁,33.35,33.75,33.35,-0.05,-0.15,1,3,1,1,33.4,33.35,33.4,3,33.33,33.38,9.06,0.19,30.2
1234,黑松,34.85,34.9,34.85,-0.05,-0.14,2,34,5,3,34.95,34.85,34.9,83,50,34.88,40.19,0.31,140.1
1235,興泰,55.2,55.9,55.3,-0.6,-1.07,3,13,10,2,55.9,55.3,55.9,16,0,55.41,10.44,0.24,57.7
1236,宏亞,25.45,25.5,25.45,-0.25,-0.97,5,136,13,3,25.95,25.45,25.7,93,15.04,25.58,10.83,3.89,27.6
1256,鮮活果汁-KY,286,287,286,3,1.06,1,8,1,2,287,282.5,283,30,62.5,285.19,3.38,1.31,96.8
1702,南僑,45.9,45.95,45.9,0.4,0.88,24,623,2,9,45.95,45.35,45.5,843,57.42,45.6,29.41,0.75,135.0
1737,臺鹽,33.75,33.85,33.75,-0.05,-0.15,2,91,10,7,33.95,33.7,33.8,126,31.11,33.78,20.00,0.64,67.5
