證券代號,證券名稱,漲停價,開盤競價基準,跌停價,開盤競價基準,收盤價,買進揭示價,賣出揭示價,最近成交日,可否零股交易,
1101,台泥,51.50,46.85,42.20,46.80,46.85,46.85,46.90,111.01.26,不可,
1102,亞泥,48.60,44.20,39.80,44.15,44.20,44.20,44.25,111.01.26,不可,
1103,嘉泥,21.85,19.90,17.95,19.90,19.90,19.90,19.95,111.01.26,不可,
1104,環泥,23.40,21.30,19.20,21.25,21.30,21.25,21.35,111.01.26,不可,
1108,幸福,12.25,11.15,10.05,11.00,11.15,11.10,11.15,111.01.26,不可,
1109,信大,21.85,19.90,17.95,19.70,19.90,19.90,19.95,111.01.26,不可,
1110,東泥,20.95,19.05,17.15,18.95,19.05,18.80,19.05,111.01.26,不可,
1301,台塑,115.50,105.00,94.50,104.50,105.00,105.00,105.50,111.01.26,不可,
1303,南亞,95.00,86.40,77.80,85.50,86.40,86.30,86.50,111.01.26,不可,
1304,台聚,30.30,27.55,24.80,27.20,27.55,27.55,27.60,111.01.26,不可,
1305,華夏,36.20,32.95,29.70,33.00,32.95,32.95,33.00,111.01.26,不可,
1307,三芳,22.20,20.20,18.20,20.30,20.20,20.20,20.25,111.01.26,不可,
1308,亞聚,38.60,35.10,31.60,34.55,35.10,35.05,35.10,111.01.26,不可,
1309,台達化,36.20,32.95,29.70,32.85,32.95,32.90,32.95,111.01.26,不可,
1310,台苯,18.40,16.75,15.10,16.65,16.75,16.75,16.80,111.01.26,不可,
1312,國喬,29.25,26.60,23.95,26.50,26.60,26.55,26.60,111.01.26,不可,
1313,聯成,22.55,20.50,18.45,20.00,20.50,20.50,20.55,111.01.26,不可,
1314,中石化,13.30,12.10,10.90,12.05,12.10,12.10,12.15,111.01.26,不可,
1315,達新,93.20,84.80,76.40,84.70,84.80,84.70,84.80,111.01.26,不可,
1316,上曜,25.00,22.75,20.50,23.55,22.75,22.70,22.75,111.01.26,不可,
1319,東陽,34.70,31.55,28.40,31.60,31.55,31.55,31.60,111.01.26,不可,
1321,大洋,36.65,33.35,30.05,33.35,33.35,33.35,33.40,111.01.26,不可,
1323,永裕,38.25,34.80,31.35,34.65,34.80,34.75,34.80,111.01.26,不可,
1324,地球,12.85,11.70,10.55,11.65,11.70,11.70,11.75,111.01.26,不可,
1325,恆大,54.70,49.80,44.85,50.60,49.80,49.75,49.80,111.01.26,不可,
1326,台化,86.60,78.80,71.00,78.60,78.80,78.80,78.90,111.01.26,不可,
1402,遠東新,31.65,28.80,25.95,28.60,28.80,28.75,28.80,111.01.26,不可,
1409,新纖,21.10,19.20,17.30,18.80,19.20,19.20,19.25,111.01.26,不可,
1410,南染,41.25,37.50,33.75,37.10,37.50,37.00,37.30,111.01.26,不可,
1413,宏洲,11.15,10.15,9.14,10.15,10.15,10.15,10.25,111.01.26,不可,
1414,東和,18.35,16.70,15.05,16.55,16.70,16.65,16.70,111.01.26,不可,
1416,廣豐,12.10,11.00,9.90,10.85,11.00,11.00,11.05,111.01.26,不可,
1417,嘉裕,14.95,13.60,12.25,13.60,13.60,13.55,13.60,111.01.26,不可,
1418,東華,15.65,14.25,12.85,14.35,14.25,13.75,14.25,111.01.26,不可,
1419,新紡,46.55,42.35,38.15,42.20,42.35,41.90,42.35,111.01.26,不可,
1423,利華,21.45,19.50,17.55,19.55,19.50,19.45,19.50,111.01.26,不可,
1440,南紡,26.55,24.15,21.75,23.90,24.15,24.15,24.20,111.01.26,不可,
1441,大東,9.90,9.00,8.10,8.98,9.00,8.99,9.00,111.01.26,不可,
1442,名軒,24.20,22.00,19.80,21.40,22.00,22.00,22.05,111.01.26,不可,
1443,立益,16.95,15.45,13.95,15.40,15.45,15.35,15.45,111.01.26,不可,
